,SYMBOL,SERIES,OPEN,HIGH,LOW,CLOSE,LAST,PREVCLOSE,TOTTRDQTY,TOTTRDVAL,TIMESTAMP,TOTALTRADES,ISIN,Unnamed: 13
2179,SOUTHWEST,BE,178.1,178.1,170.75,173.4,172.0,179.65,103623,18131673.45,24-NOV-2023,530,INE980Y01015,
2180,SPAL,EQ,623.0,667.85,623.0,639.0,639.9,623.65,154746,100201085.1,24-NOV-2023,16192,INE212I01016,
2181,SPANDANA,EQ,956.2,971.75,951.8,958.6,961.0,955.75,51766,49653458.95,24-NOV-2023,5723,INE572J01011,
2182,SPARC,EQ,257.9,278.85,257.85,273.05,274.0,257.25,10961383,3000668260.05,24-NOV-2023,101786,INE232I01014,
2183,SPCENET,EQ,23.75,24.6,23.4,24.35,24.5,24.1,1817481,44077750.95,24-NOV-2023,1057,INE970N01027,
2184,SPECIALITY,EQ,191.75,192.75,187.6,188.45,189.85,192.95,28282,5367130.45,24-NOV-2023,1050,INE247M01014,
2185,SPECTRUM,SM,1078.8,1115.0,1025.4,1108.65,1109.95,1078.8,3875,4234881.25,24-NOV-2023,22,INE01EO01010,
2186,SPECTSTM,SM,91.0,94.9,91.0,94.35,94.7,91.0,29600,2771000.0,24-NOV-2023,37,INE0OL001018,
2187,SPENCERS,EQ,67.8,75.8,67.8,73.8,73.75,67.45,2322582,169849391.2,24-NOV-2023,15462,INE020801028,
2188,SPENTEX,BZ,2.55,2.65,2.55,2.65,2.65,2.6,755,1925.35,24-NOV-2023,2,INE376C01020,
2189,SPIC,EQ,68.45,68.85,67.3,67.5,67.55,68.2,531966,36188071.15,24-NOV-2023,2808,INE147A01011,
2190,SPLIL,EQ,63.8,72.0,63.75,68.8,69.0,64.15,423607,29449746.7,24-NOV-2023,4235,INE978G01016,
2191,SPLPETRO,EQ,552.0,562.4,552.0,556.75,560.5,552.0,58136,32452626.85,24-NOV-2023,6779,INE663A01033,
2192,SPMLINFRA,BE,74.45,74.45,73.5,74.4,74.4,73.95,164068,12156962.9,24-NOV-2023,94,INE937A01023,
2193,SPORTKING,EQ,835.1,844.65,803.45,807.75,805.0,838.15,11097,9104579.75,24-NOV-2023,2138,INE885H01011,
2194,SPYL,BE,1.05,1.05,1.05,1.05,1.05,1.0,369887,388381.35,24-NOV-2023,38,INE268L01020,
2195,SREEL,EQ,321.95,332.9,312.9,316.0,315.4,321.3,71118,23038679.4,24-NOV-2023,5566,INE099F01013,
2196,SRF,EQ,2359.05,2383.25,2350.6,2359.4,2354.0,2359.6,272673,645649227.3,24-NOV-2023,25237,INE647A01010,
2197,SRGHFL,EQ,283.95,286.0,276.8,280.35,278.25,281.85,4975,1402767.3,24-NOV-2023,345,INE559N01010,
2198,SRHHYPOLTD,EQ,542.0,552.0,542.0,548.55,545.6,544.9,13455,7373012.35,24-NOV-2023,1211,INE917H01012,
2199,SRIVASAVI,SM,149.7,154.7,139.5,143.35,143.5,142.7,49000,7064750.0,24-NOV-2023,46,INE0NPI01014,
2200,SRPL,BE,1.15,1.15,1.15,1.15,1.15,1.1,746831,858855.65,24-NOV-2023,132,INE008Z01020,
2201,SSFL,SM,206.0,218.0,202.1,209.9,207.0,201.2,162000,34202800.0,24-NOV-2023,139,INE0ON201012,
2202,SSWL,EQ,285.9,287.65,278.95,280.05,279.2,284.15,228227,64688668.95,24-NOV-2023,6827,INE802C01033,
2203,STAR,EQ,497.7,505.9,495.1,496.05,495.5,495.25,334528,167526730.6,24-NOV-2023,12392,INE939A01011,
2204,STARCEMENT,EQ,169.65,171.25,166.2,166.9,166.5,168.55,334689,56342281.35,24-NOV-2023,9627,INE460H01021,
2205,STARHEALTH,EQ,554.0,578.85,554.0,570.55,570.55,557.4,520945,295590438.45,24-NOV-2023,27385,INE575P01011,
2206,STARPAPER,EQ,219.85,223.95,219.0,221.05,221.0,219.25,31499,6964021.45,24-NOV-2023,1445,INE733A01018,
2207,STARTECK,EQ,215.6,223.1,214.55,217.6,219.0,218.6,21429,4683003.8,24-NOV-2023,550,INE992I01013,
2208,STCINDIA,EQ,119.95,119.95,116.1,116.3,116.65,118.9,52681,6180099.0,24-NOV-2023,684,INE655A01013,
2209,STEELCAS,EQ,623.55,629.9,620.65,627.0,628.0,617.4,10395,6500935.6,24-NOV-2023,1590,INE124E01020,
2210,STEELCITY,EQ,68.8,68.85,66.7,67.05,67.5,68.15,14710,991704.5,24-NOV-2023,229,INE395H01011,
2211,STEELXIND,EQ,10.75,10.75,10.1,10.2,10.2,10.5,4240569,43451243.55,24-NOV-2023,4568,INE503B01021,
2212,STEL,EQ,285.15,300.5,283.55,289.85,293.0,283.55,45821,13484441.7,24-NOV-2023,1932,INE577L01016,
2213,STERTOOLS,EQ,357.7,360.35,347.3,353.5,352.6,357.7,51061,18068554.75,24-NOV-2023,4493,INE334A01023,
